northbound,northbound speed,southbound,southbound speed
A1 (M) Interchange -> J48,66 mph ,A1 (M) Interchange, 67 mph
Garforth / A1(M) Interchange -> J47,66 mph ,Garforth / A1(M) Interchange, 69 mph ->  Unconfirmed Roadworks
Leeds -> J46,67 mph ,Leeds / Garforth, 67 mph
Limited Access -> J45,66 mph ,Limited Access, 64 mph
Leeds -> J43|44,66 mph ,Limited Access, 63 mph
Manchester / Hull -> J42,68 mph ,Manchester / Hull, 63 mph
Wakefield -> J41,66 mph ,Wakefield / Morley, 65 mph
Dewsbury / Wakefield -> J40,65 mph ,Wakefield / Dewsbury, 69 mph
Wakefield -> J39,68 mph ,Wakefield, 68 mph
Huddersfield -> J38,68 mph ,Barnsley, 70 mph
Barnsley -> J37,67 mph ,Barnsley, 66 mph
Barnsley -> J36,67 mph ,Hoyland, 62 mph
Chapeltown -> J35A,67 mph ,Limited Access, 67 mph
Sheffield / Rotherham -> J35,67 mph ,Sheffield / Rotherham, 67 mph
Sheffield / Rotherham -> J34,62 mph ,Sheffield / Rotherham, 61 mph
Sheffield Airport / Rotherham -> J33,55 mph ,Rotherham, 65 mph
Doncaster -> J32,62 mph ,Sheffield, 68 mph
Sheffield -> J31,65 mph ,Worksop, 70 mph
Sheffield -> J30,64 mph ,Worksop, 70 mph
Chesterfield (E) / Bolsover -> J29A,65 mph ,Chesterfield (E) / Bolsover, 68 mph
Chesterfield / Mansfield -> J29,62 mph  -> Incident ,Mansfield / Chesterfield, 67 mph
Mansfield -> J28,69 mph ,Mansfield, 68 mph
Mansfield -> J27,66 mph  -> Unconfirmed Roadworks ,Nottingham / Langley Mill, 70 mph
Nottingham -> J26,65 mph  -> Unconfirmed Roadworks ,Nottingham, 63 mph
Nottingham / Derby -> J25,57 mph ,Nottingham / Derby, 67 mph
Derby -> J24A,66 mph ,East Mids Airport / Loughborough, 65 mph
Derby -> J24,64 mph ,East Mids Airport / Loughborough, 62 mph ->  Unconfirmed Roadworks
Nottingham / East Mids Airport -> J23A,67 mph ,Birmingham, 62 mph ->  Unconfirmed Roadworks
Loughborough -> J23,70 mph ,Loughborough, 59 mph
Coalville / Leicester -> J22,64 mph ,Leicester, 62 mph
Leicester -> J21A,58 mph ,Limited Access, 62 mph ->  Unconfirmed Roadworks
Leicester -> J21,69 mph  -> Unconfirmed Roadworks ,Leicester, 65 mph ->  Unconfirmed Roadworks
Lutterworth / Rugby -> J20,70 mph ,Lutterworth / Rugby, 64 mph
Birmingham -> J19,65 mph ,Birmingham, 66 mph
Rugby -> J18,62 mph ,Rugby, 63 mph
Coventry -> J17,63 mph ,Limited Access, 66 mph
Northampton -> J16,56 mph ,Northampton, 56 mph
Northampton -> J15A,57 mph ,Northampton," 55 mph ->  Unconfirmed Roadworks
 Unconfirmed Roadworks"
Northampton -> J15,"58 mph  -> Unconfirmed Roadworks 
Unconfirmed Roadworks 
Unconfirmed Roadworks ",Northampton," 58 mph ->  Roadworks
 Unconfirmed Roadworks
 Unconfirmed Roadworks
 Roadworks
 Unconfirmed Roadworks"
Milton Keynes -> J14,"65 mph  -> Unconfirmed Roadworks 
Unconfirmed Roadworks 
Unconfirmed Roadworks ",Milton Keynes," 64 mph ->  Unconfirmed Roadworks
 Unconfirmed Roadworks
 Unconfirmed Roadworks
 Unconfirmed Roadworks"
Milton Keynes -> J13,"62 mph  -> Unconfirmed Roadworks 
Unconfirmed Roadworks ",Bedford, 60 mph
Flitwick -> J12,65 mph ,Flitwick, 62 mph
Dunstable -> J11A,57 mph ,Dunstable, 56 mph
Luton -> J11,57 mph ,Luton, 55 mph
Luton Airport -> J10,52 mph ,Luton Airport, 66 mph
Dunstable -> J9,49 mph ,Harpenden, 64 mph
Hemel Hempstead -> J8,54 mph ,Hemel Hempstead, 58 mph
Limited Access -> J7,60 mph ,Hemel Hempstead, 68 mph
Limited Access -> J6A,66 mph ,Heathrow, 69 mph
St Albans -> J6,66 mph ,St Albans, 66 mph
Watford -> J5,68 mph  -> Unconfirmed Roadworks ,Watford, 70 mph
Limited Access -> J4,68 mph ,Edgware, 70 mph
Limited Access -> J2,70 mph ,Mill Hill, 61 mph
Brent Cross -> J1,,Brent Cross,
